"final_category","narrative_1","synopsis","assessments","events","events_6","phase","component","component_4","person_1_8"
"OTHER","Air carrier Captain reported an airborne conflict with a UAS while on departure climb out.","While climbing a small white quadcopter passed off the left side of the airplane and below. Estimated 1000-1500 ft below and 1000 ft to the left (north) and it was traveling westbound.","Human Factors","Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy","General None Reported / Taken","Climb","","",""
"OTHER","General aviation pilot reported a NMAC with a helicopter approaching from the opposite direction while flying low level through canyons.","Pilot of Aircraft X was executing a low level route from north to south over an unpopulated area at 500' AGL. The route is located in a canyon with multiple S turns and descending terrain that starts around 4k to 5k' msl in the north to 800' msl at the south portion. Near the end of the route; the Aircraft X pilot made a right hand turn in the canyon and visually saw Aircraft Y proceeding north bound (in the opposite direction) 3500' lateral separation and 500' above Aircraft X's altitude. The helo was descending into the canyon from the ridge to the west at a relatively rapid rate and the vertical separation was decreasing towards 300'. Based on the decreasing lateral and vertical separation and the helicopter being established above Aircraft X; the Aircraft X pilot decided to descend to avoid a flight path conflict. Aircraft X and Aircraft Y passed within 200' lateral separation with Aircraft Y gaining visual and climbing up and to the left at approximately 800' of lateral separation. Aircraft X aborted the remainder of the low level in the case there was another helicopter in the vicinity. No damage occurred to either aircraft or crew. Both pilots found each other on the local CTAF frequency and Aircraft Y stated that they would be operating in the area and Aircraft X agreed to remain clear of the route while they were operating in the canyon. Fix: Both pilots failed to make an advisory call about their location and intention of flying the low level route. While this call is not mandatory and flight regulations were being followed by both pilots; it would have increased both pilot's situational awareness of the other aircraft's location and intentions and potentially alleviated the close pass and requirement to take evasive action at low altitude.","Environment - Non Weather Related; Human Factors","Conflict NMAC","Flight Crew Took Evasive Action","Cruise","","","Communication Breakdown; Situational Awareness; Workload"
"OTHER","Air carrier First Officer reported descending below the glide slope on approach to MMMX; in part due to selecting Level Change mode of the FMC.","Enaga3A arrival that joined up to the ILS Y 05R MMMX. We were vectored off of the arrival a couple of times and given altitudes to descend to and then were cleared back on to the arrival and were cleared for the ILS Y 05R. PF selected Level Change to descend while off of the arrival and when we were cleared back on the arrival and cleared for the approach Level Change was the mode still selected. Once inside MX960 Touchdown Zone was set. Once on the final approach course and in VMC with the runway in sight I noticed that we seemed to be lower than I would have expected to be on final at this point. My eyes immediately went to the Mode Control Panel and I verified with the Flight Mode Annunciator (FMA) that we were not in APP mode and I verbalized to the PF that we were still in Level Change; would you like for me to arm the approach for you; and he said yes. At this point we both had the runway in sight and were below the glide slope. The PF immediately corrected by leveling off and capturing the glide path from below.","Human Factors","Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Unstabilized Approach; Inflight Event / Encounter CFTT / CFIT","Flight Crew Became Reoriented; Flight Crew Took Evasive Action","Final Approach","","","Situational Awareness"
"OTHER","Air carrier flight crew reported descent below glidepath on initial approach due to incorrect altimeter setting resulted in a Ground Proximity Warning.","Expecting ZZZ RNAV-Z XX.  ZZZ center issues descend via the ZZZZZ arrival; ZZZ1 altimeter 29.95.""  Altimeter at ZZZ is advertised as 29.79 on the ATIS.  We were aware that there was a big difference between ZZZ1 alt. and ZZZ; assumption was that ZZZ appr and/or final controller would issue the latest alt. setting upon check-in seeing as how we were cleared to descent via so far out from ZZZ; practically abeam ZZZ1.  Boy was I wrong.  While being vectored to join an approximately 10nm straight in final; cleared for the visual for XX using the RNAV-Z XX as backup; me and the FO both noticed that we seemed a bit low when capturing the GP at 2000ft; with 4 red showing on the PAPI.  We heard no other aircraft in front of us ask about the alt setting.  I made a quick comment to the First Officer confirm the ATIS alt setting of 29.95; to which he confirmed.  The next events literally happened within seconds.  I had already disconnected the AP outside the FAF and was hand flying the approach when I keyed the mic to query ATC of the local alt. setting; to which they replied ""29.75!""  At this point I was already in the process of adjusting our pitch to get us back on the PAPI while simultaneously adjusting and correcting the alt setting on the guidance panel. As soon as I started to correct the ALT setting; and already showing 3 red 1 white on the PAPI per my alt correction; we momentarily got and EGPWS caution alert for an obstacle in front of us (buildings on the extended CL of rwy XX).  Before I even had time to process what was going on; get my hands back on the TL's and react to the alert for the escape maneuver; the EGPWS alert went away.  Slightly confused on what just happened and angry with ATC for not advising of the proper local alt.; as well as not having the EGPWS alert active while already reestablished back on the PAPI/GP; stable; in visual conditions; with no threat to the aircraft we continued on the approach to a safe landing.Suggestions: With regards to RNAV-RNP as well as PBN with actions and callouts; we are taught to ensure that local alt is set and confirmed (cross checked) when at IAF.  Again it is emphasized more on the RNP and PBN approach setup but it applies equally to any Baro VNAV GP like the RNAV-Z XX. With ZZZ appr never giving us the latest local altimeter setting when we check in on our last leg; nearly midnight and wrestling with 30kt plus gusts; we forgot to check and change the altimeter to latest ATIS setting and/or ask approach for the latest which basically led to a breakdown in comms between us and ATC; however given that the responsibility lies with us; the flight crew; even if there were an emphasis to x-check alt setting for an RNAV such as this one the incident probably would have still occurred since we were flying on what we thought was the most current alt setting that was given while on the ZZZ arrival.""","Environment - Non Weather Related; Weather; Procedure; Human Factors","ATC Issue All Types; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Became Reoriented","Initial Approach","","","Workload; Confusion; Communication Breakdown; Situational Awareness"
"OTHER","General aviation pilot reported during final approach for landing they had a near midair collision with another aircraft that entered the traffic pattern in the opposite direction. The pilot took evasive action to avoid a collision.","Aircraft X flew through traffic patter opposite direction; same altitude as landing traffic.  This caused a near miss as Aircraft X was not on CTAF frequency.  I adjusted course to avoid collision while Aircraft X maintained course through the traffic pattern.  ADSB saved my life in this situation.","Airspace Structure; Human Factors","Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy","Flight Crew Took Evasive Action","Landing","","","Communication Breakdown"
"OTHER","General aviation pilot reported they did not follow the assigned obstacle departure procedure which resulted in ATC providing vectors to provide obstacle clearance.","I filed an IFR flight from ZZZ to ZZZ1. Because I'd only flown one other private airplane IFR flight; I needed the practice. I filed; then later telephoned to receive Clearance from Clearance Delivery. They did mention the 'obstacle clearance departure' or something similar; which I acknowledged and understood to mean a particular departure procedure that must be on a departure page in Foreflight. Upon searching foreflight; I did not find such a departure; so I incorrectly assumed they meant; 'avoid obstacles.' This did not concern me because it was a completely clear day.Because there is no useful radio frequency on the ground in ZZZ and there was a very short time window; I knew I would have to receive departure clearance over my cell phone while taxiing out. So; I began our taxi to runway XX. With calm winds; this southerly departure made the most sense.After an avionics issue which interrupted and delayed our taxi several minutes; I removed my headset and made the phone call with our quite noisy engine running. I heard the clearance with only 3 minutes to get airborne. Just then; 2 aircraft reported on final to land; pushing us right up to the very edge of our time slot. I was rushed.Minutes after departure; I contacted departure on the prescribed frequency and I was surprised to hear that I was 'not on the prescribed course;' and told to climb to altitude ASAP. (I think it was to 4;000') I was soon cleared on course; but told to call for a 'possible deviation.'I spoke to someone; who patiently explained what had happened. He told me of the particular route I should have flown and why. (min safe and vectoring altitude is 4;000' to the south of ZZZ; but much lower to the north; so ATC cannot direct us below those altitudes) I still could not find a page in my Foreflight pertaining to this special procedure from ZZZ; but did eventually find a small note under 'Takeoff Minimums' tab hidden amongst several pages of airports. I admit i did not initially look under this heading because 'takeoff minimums' I associate with visibility; not procedures. Not until you open this tabbed section does it also state;'(Obstacle) departure procedures; and diverse vector area (radar vectors)'While I do admit to the mistake; I believe that more pilots will make this mistake as long as this section of our charts is labeled only as 'takeoff Minimums.' If either (1) this special procedure were added as a separate Departure page; OR (2) this tab labeled 'takeoff minimums' were re-labled with its full title it would be much better. I apologize for the mistake; and am sorry for any consternation it gave the controllers.","Manuals; Human Factors","Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance","Initial Climb","","","Human-Machine Interface; Training / Qualification; Communication Breakdown; Confusion"
"OTHER","Light aircraft cargo pilot reported realizing after the flight that he flew an unauthorized approach into JER airport at night that probably resulted in a CFTT incident.","Cargo and one passenger. I am filing this report due to my oversight in flying an RNAV approach at night that is prohibited at night.  I have flown to JER many times in the past few months on my new job as single pilot IFR part 135. I am familiar with the airport and have landed both runways multiple times. I'm also familiar with the obstacles.  On this morning it was clear visual to the airport from about 5-7 North as I descended and approached from ZZZ; there were clouds in the area and I was on IFR flight plan and could have landed visually except that I believed; there were likely clouds in the dark areas South and East probably blocking a typical Left pattern entry. (Cannot do right traffic on RW27)   Winds were highly favoring RW27. On the G1000 I had dialed in the approach and asked for it; was assigned it; and flew it; mostly in the clouds. I flew this (autopilot fully coupled) from memory and off the G1000. Landed safely normally on RW27. I did not refer to the approach plate. A few days later realized that I had not given any consideration to the approach being NA at night.  Had I referred to the plate instead of being in a hurry and merely loading the approach into G1000; I would have stayed VFR or diverted. This is a big error because the antennas and barn East of the approach end of RW27 are seriously close and I have avoided them visually prior flights. My error was in assuming. I was lucky I knew the airport; and cannot imagine doing something similar at an unknown airport without fully briefing the plate. I learned the stupid way that I must fully brief the plate each flight even for familiar airports.","Human Factors","Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","General None Reported / Taken","Initial Approach","","","Situational Awareness"
"OTHER","ATC Approach Controller reported descending an aircraft below the MVA resulting in the Controller issuing an immediate turn to avoid the terrain.","Aircraft was on a vector for visual approach to MAN. I believed aircraft to have crossed into lower MVA (with map displayed) and issued lower altitude. As Aircraft was descending through the 050 MVA I noticed what I had believed to be the MVA boundary between the 050 and 040 MVAs was instead an arrival displayed on the scope bisecting the MVA depiction. I immediately turned the aircraft to the shortest exit route and climbed them but they descended below the MVA prior to entering the lower 040 MVA. I also failed to issue low altitude alert.Recommendation: Be more cognizant of depicted maps on scope.","Human Factors","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued New Clearance","Descent","","",""
"OTHER","Flight Instructor approaching the VFR pattern reported a NMAC with an enroute VFR aircraft which was not communicating with Tower.","During a practice area flight at ZZZ; while descending from 2200 feet to 1200 feet from the ZZZZZ intersection to ZZZZZ1 on the right base for Runway XX; I encountered a near-miss with another aircraft. Approximately 5 miles from the airport and 2.5 miles ENE (East North East) of ZZZ's Class D airspace; while visually scanning and monitoring ADS-B In/Out; I observed an aircraft on a converging path at our 2 o'clock position. We initially detected the aircraft via ADS-B and subsequently confirmed visual contact. Upon realizing the potential for a collision course; I immediately announced to ZZZ Tower that we were on a collision course and required immediate evasive action. I then executed a left-hand turn to avoid the aircraft; which passed behind and below us.The other aircraft likely inbound to ZZZ1 appeared to be monitoring ZZZ Tower but did not broadcast their position or acknowledge our presence.This incident was particularly concerning due to the limited visibility and the converging traffic patterns in the vicinity. The airspace in this area experiences significant traffic density; with aircraft arriving at ZZZ and departing from other airports; creating a challenging environment for maintaining separation. While I understand that right-hand traffic typically has the right-of-way; the late visual acquisition of the other aircraft necessitated immediate evasive action to ensure safety.In clear daylight; this is statistically the hardest time to spot traffic.This incident highlights the importance of constant situational awareness; vigilant traffic scanning; and the judicious use of flight-following services; even for relatively short flights. While I cannot control the actions of other aircraft; this experience underscores the need for proactive measures to enhance safety; such as obtaining flight following for improved traffic advisories and maintaining a sterile cockpit environment to maximize situational awareness.This incident serves as a valuable learning experience; emphasizing the critical importance of constant vigilance; effective communication; and the utilization of all available resources to maintain safe flight operations in busy airspace.Additional notes; I would like to add are; what is fickle about the arrival procedure; is that the lateral bounds of the arrival corridor act like a funnel; where inbound and outbound traffic pass by one another; as other airspaces to the south and north condense the Class E airspace corridor where several aircraft traverse through. Aircraft that head south to other airports while ZZZ arrivals descend through there all of the time is common -- and that airspace is busy as it doesn't allow much wiggle room for opposing traffic to maneuver around one another.In retrospect; the simple answer is to obtain flight following; even if the nature of our flight was approximately 30 min; where we are flying out east briefly; and then returning back to the airport of origin; as more precaution in avoiding that traffic occurs (since there could have been better awareness from not only the pilots but ATC calling out other traffic (hopefully earlier on). Besides the other modalities of traffic collision avoidance that we had at hand; such as our eyes; ADS-B; and tower control; we did the best we could in handling the situation with what services we were utilizing (minus the flight following; which might have ultimately led to a safer more conservative outcome in vectoring around traffic).The training environment can involve lots of talking and division of attention away from looking outside. I teach in briefs ahead of time (such as in passenger; before-flight briefings) sterile cockpit procedures when approaching airport vicinities as we need to look out/not miss other traffic and radio calls. We were silent and vigilantly looking around for traffic during the occurrence; the better factor could have been coordinating with ATC for flight following advisories. Busy airspace necessitates prudent scanning and traffic avoidance (and; if possible; advantages of opting for flight following); and writing this report will help me; and hopefully others; in key takeaways of how to properly be set up for/minimize situations like these.","Airspace Structure; Human Factors; Procedure","Conflict NMAC","Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action","Descent","","","Training / Qualification; Workload"
"OTHER","A320 pilot reported while on final approach being advised of helicopter traffic resulting in the pilot receiving an TA and reducing their descent rate to avoid the traffic.","We were vectored for the RNAV Z XXL into ZZZ. Somewhere between ZZZZZ and ZZZZZ1 ATC informed us of law enforcement helicopter traffic to our south and below our altitude and were told they would stay clear of us.During our descent on profile we received a TCAS Traffic Advisory for the helicopter.On TCAS they showed 300 feet below our altitude. I reduced our descent rate to insure we don't get any closer. At no point did myself or the FO see the helicopter traffic as they were below us.Shortly after adjusting our descent rate the TA subsided and I was able to continue on the  descent for a normal and landing.At no point during the approach did I feel unsafe however it was uncomfortable not having the helicopter traffic in sight with a 300 foot separation. Especially since [we] were descending on profile for landing.Once on the ground I called ZZZ tower to discuss the event. The controller I spoke to was very professional and showed a willingness to help. The controller  took down the flight information and mine and said he would look at the flight track and voice transmission.A couple of hours later the controller contacted me.He explained that the helicopter traffic was law enforcement and was in pursuit along the freeway. He mentioned that this occurrence is not standard however does not happen often. The controller added that the helicopter had us in sight and later turned south during the pursuit.I completely understand that this may not happen very often; but believe it should not happen at all especially in light of the events in DCA.Law enforcement pursuits have the potential of being anything but controlled flights and the aircraft flying the pursuit may have to maneuver erratically. It is my belief that in instances like the one I described; where helicopter or aircraft traffic is maneuvering at low altitudes near the approach end or departure end of a busy airports more care should be taken.","Human Factors","Conflict NMAC","Air Traffic Control Issued Advisory / Alert","Final Approach","","",""
